"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.5","86.0","0.7","0.1","12.7"
"Zach Ertz","PHI","6.2","63.4","0.5","0.1","9.3"
"George Kittle","SF","5.1","64.0","0.5","0.0","9.3"
"Mark Andrews","BAL","4.0","51.9","0.6","0.0","8.5"
"Darren Waller","OAK","5.7","50.3","0.5","0.1","7.9"
"Austin Hooper","ATL","5.3","52.8","0.4","0.1","7.7"
"Greg Olsen","CAR","4.1","49.1","0.4","0.0","7.6"
"Evan Engram","NYG","5.5","60.0","0.3","0.1","7.5"
"Will Dissly","SEA","3.9","45.4","0.5","0.0","7.4"
"Eric Ebron","IND","3.4","39.4","0.4","0.0","6.1"
"Tyler Eifert","CIN","3.3","37.0","0.4","0.0","5.9"
"Jason Witten","DAL","3.7","35.9","0.4","0.1","5.5"
"Jimmy Graham","GB","3.8","41.8","0.2","0.0","5.2"
"Delanie Walker","TEN","4.5","43.1","0.1","0.0","5.1"
"O.J. Howard","TB","2.9","40.4","0.1","0.1","4.4"
"Jared Cook","NO","2.9","34.2","0.1","0.0","4.0"
"Jack Doyle","IND","3.5","32.3","0.1","0.0","4.0"
"Ricky Seals-Jones","CLE","2.2","30.0","0.1","0.0","3.8"
"Dawson Knox","BUF","2.8","32.5","0.1","0.0","3.8"
"Jordan Akins","HOU","2.2","28.0","0.2","0.0","3.7"
"Trey Burton","CHI","2.7","29.0","0.1","0.0","3.5"
"Noah Fant","DEN","2.9","29.9","0.1","0.0","3.5"
"James O'Shaughnessy","JAC","2.6","24.3","0.1","0.0","3.0"
"Darren Fells","HOU","1.9","20.4","0.1","0.0","2.9"
"Cameron Brate","TB","2.0","22.1","0.1","0.0","2.9"
"Dallas Goedert","PHI","1.9","19.7","0.2","0.0","2.9"
"Vance McDonald","PIT","2.2","23.3","0.1","0.0","2.8"
"Gerald Everett","LAR","2.4","22.6","0.1","0.0","2.8"
"Jeremy Sprinkle","WAS","2.1","24.0","0.1","0.0","2.7"
"Hayden Hurst","BAL","1.8","22.1","0.1","0.0","2.7"
"Kyle Rudolph","MIN","2.0","20.0","0.1","0.0","2.5"
"Lance Kendricks","LAC","1.9","20.2","0.1","0.0","2.5"
"Geoff Swaim","JAC","2.4","19.2","0.1","0.0","2.4"
"Blake Jarwin","DAL","1.8","20.3","0.1","0.0","2.4"
"Ryan Griffin","NYJ","2.1","20.3","0.1","0.0","2.4"
"Marcedes Lewis","GB","1.7","18.8","0.1","0.0","2.4"
"Nick Vannett","PIT","1.9","19.1","0.1","0.0","2.4"
"Tyler Higbee","LAR","1.9","17.8","0.1","0.0","2.3"
"Jeff Heuerman","DEN","1.9","17.2","0.1","0.0","2.3"
"Irv Smith Jr.","MIN","1.8","18.3","0.1","0.0","2.3"
"Charles Clay","ARI","1.8","18.0","0.1","0.0","2.2"
"Nick Boyle","BAL","1.8","17.1","0.1","0.0","2.1"
"C.J. Uzomah","CIN","1.5","17.0","0.0","0.0","2.0"
"Robert Tonyan","GB","1.2","14.3","0.1","0.0","1.9"
"Jonnu Smith","TEN","1.4","13.1","0.1","0.0","1.9"
"Adam Shaheen","CHI","1.3","13.6","0.1","0.0","1.8"
