"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Travis Kelce","KC","vs. IND","1","1","1.0","0.0","12.4"
"2","undefined","","George Kittle","SF","vs. CLE","2","4","2.4","0.7","8.9"
"3","undefined","","Zach Ertz","PHI","vs. NYJ","2","14","3.3","0.8","8.6"
"4","undefined","","Evan Engram","NYG","vs. MIN","2","6","4.4","1.1","8.4"
"5","undefined","","Mark Andrews","BAL","at PIT","4","8","4.4","0.5","8.3"
"6","undefined","","Darren Waller","OAK","vs. CHI","2","9","6.2","0.7","7.6"
"7","undefined","","Greg Olsen","CAR","vs. JAC","5","12","7.9","1.2","7.0"
"8","undefined","","Austin Hooper","ATL","at HOU","6","11","8.0","0.6","7.0"
"9","undefined","","Will Dissly","SEA","vs. LAR","7","18","8.3","1.0","6.6"
"10","undefined","","Delanie Walker","TEN","vs. BUF","10","18","11.9","1.9","6.0"
"11","undefined","","Eric Ebron","IND","at KC","7","18","11.9","1.3","5.9"
"12","undefined","","Tyler Eifert","CIN","vs. ARI","2","14","12.2","2.2","5.5"
"13","undefined","","Jimmy Graham","GB","at DAL","8","15","12.2","1.6","5.2"
"14","undefined","","O.J. Howard","TB","at NO","9","17","12.5","1.7","5.0"
"15","undefined","","Jared Cook","NO","vs. TB","7","22","16.0","2.1","4.7"
"16","undefined","","Jason Witten","DAL","vs. GB","15","24","16.8","1.7","4.7"
"17","undefined","","Jack Doyle","IND","at KC","11","23","17.5","2.3","4.2"
"18","undefined","","Noah Fant","DEN","at LAC","16","22","18.4","1.5","4.2"
"19","undefined","","Dawson Knox","BUF","at TEN","9","25","18.5","3.6","4.2"
"20","undefined","","Trey Burton","CHI","at OAK","13","22","19.0","1.6","4.1"
"21","undefined","","Gerald Everett","LAR","at SEA","13","29","23.1","2.4","4.0"
"22","undefined","","Ricky Seals-Jones","CLE","at SF","19","40","25.8","5.0","3.8"
"23","undefined","","Kyle Rudolph","MIN","at NYG","19","27","23.8","1.6","3.6"
"24","undefined","","Jordan Akins","HOU","vs. ATL","18","28","24.2","2.3","3.5"
"25","undefined","","Dallas Goedert","PHI","vs. NYJ","20","31","24.5","3.2","3.4"
"26","undefined","","Cameron Brate","TB","at NO","22","35","28.1","2.6","3.3"
"27","undefined","","James O'Shaughnessy","JAC","at CAR","24","33","28.4","3.2","3.2"
"28","undefined","","Hayden Hurst","BAL","at PIT","18","34","29.4","2.7","3.2"
