"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Derrick Henry","TEN","at KC","1","2","1.0","0.0","0"
"2","undefined","","Damien Williams","KC","vs. TEN","1","4","2.1","0.3","0"
"3","undefined","","Aaron Jones","GB","at SF","2","4","2.9","0.3","0"
"4","undefined","","Raheem Mostert","SF","vs. GB","3","5","4.3","0.7","0"
"5","undefined","","Tevin Coleman","SF","vs. GB","4","5","4.6","0.5","0"
"6","undefined","","Jamaal Williams","GB","at SF","6","7","6.0","0.0","0"
"7","undefined","","Matt Breida","SF","vs. GB","6","7","7.0","0.0","0"
"8","undefined","","LeSean McCoy","KC","vs. TEN","8","9","8.0","0.0","0"
"9","undefined","","Dion Lewis","TEN","at KC","9","11","9.7","0.9","0"
"10","undefined","","Darwin Thompson","KC","vs. TEN","9","11","9.9","0.6","0"
"11","undefined","","Tyler Ervin","GB","at SF","8","11","10.3","0.5","0"
"12","undefined","","Kyle Juszczyk","SF","vs. GB","11","12","11.9","0.3","0"
""
""
