"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","26.5","17.5","199.8","1.3","0.5","11.7","72.1","0.6","0.2","22.3"
"","high","31.2","20.7","239.6","1.6","0.0","13.1","80.5","1.0","0.2","27.2"
"","low","22.7","14.6","170.0","0.9","0.8","10.0","54.6","0.4","0.3","21.5"
"Deshaun Watson","HOU","32.1","21.6","252.2","1.8","0.8","5.4","29.5","0.3","0.2","19.7"
"","high","35.0","23.1","270.2","2.0","0.6","6.2","36.0","0.4","0.2","22.9"
"","low","29.0","20.0","234.0","1.5","1.0","4.0","23.0","0.0","0.3","20.0"
"Patrick Mahomes","KC","35.9","23.5","292.4","1.7","0.5","3.8","18.5","0.1","0.2","19.6"
"","high","40.0","27.0","331.7","2.0","0.0","6.0","24.0","0.2","0.1","24.0"
"","low","32.0","21.8","263.0","1.5","0.8","2.7","15.9","0.0","0.2","17.4"
"Aaron Rodgers","GB","33.4","22.4","262.4","2.0","0.3","3.3","16.0","0.1","0.2","19.4"
"","high","36.6","24.4","277.0","2.0","0.0","5.0","19.2","0.2","0.2","23.0"
"","low","30.0","21.0","249.5","1.8","0.4","1.9","14.0","0.0","0.2","18.7"
"Russell Wilson","SEA","31.7","21.1","261.2","1.9","0.5","4.5","23.0","0.1","0.2","19.2"
"","high","34.0","23.0","288.0","2.0","0.0","5.1","25.4","0.2","0.1","24.4"
"","low","29.5","19.4","238.0","1.6","0.7","3.1","17.0","0.0","0.4","18.4"
"Carson Wentz","PHI","36.6","23.9","267.5","2.1","0.8","3.6","14.9","0.1","0.3","18.8"
"","high","38.5","26.0","283.0","2.2","0.7","4.0","19.0","0.2","0.2","24.1"
"","low","33.9","21.1","221.4","1.9","1.0","2.7","12.5","0.0","0.4","18.4"
"Jameis Winston","TB","38.1","23.6","301.8","1.9","1.2","3.8","17.5","0.1","0.4","18.7"
"","high","40.0","24.7","323.0","2.0","1.0","4.2","22.0","0.2","0.3","25.2"
"","low","36.6","22.7","289.2","1.7","1.4","3.1","12.0","0.0","0.4","18.2"
"Matt Ryan","ATL","38.3","26.3","297.8","2.0","0.9","1.7","6.7","0.1","0.3","18.5"
"","high","42.0","29.0","332.0","2.1","0.7","2.5","10.4","0.2","0.3","22.8"
"","low","36.0","24.4","282.4","1.8","1.0","1.0","3.0","0.0","0.3","18.9"
"Dak Prescott","DAL","34.5","23.2","277.3","1.6","0.8","3.4","18.1","0.2","0.2","18.4"
"","high","38.0","26.0","334.0","2.0","0.6","4.1","19.1","0.5","0.1","23.6"
"","low","31.7","21.0","241.8","1.2","1.0","2.7","16.1","0.0","0.2","16.1"
"Kirk Cousins","MIN","33.4","23.5","272.9","1.8","0.4","1.7","4.8","0.1","0.3","17.7"
"","high","35.0","27.0","292.0","2.1","0.0","2.7","8.4","0.2","0.2","19.9"
"","low","31.1","21.4","251.6","1.0","0.6","0.0","0.0","0.0","0.3","16.7"
"Tom Brady","NE","38.4","24.8","272.8","1.8","0.5","1.0","1.9","0.1","0.1","17.4"
"","high","47.0","32.0","312.0","2.0","0.0","1.7","2.8","0.2","0.1","21.6"
"","low","34.0","22.6","249.7","1.6","0.9","0.0","1.0","0.0","0.2","16.6"
"Ryan Tannehill","TEN","30.1","20.1","237.5","1.8","0.8","4.3","19.1","0.1","0.3","16.9"
"","high","34.0","21.2","256.6","2.0","0.4","8.0","34.0","0.2","0.2","22.9"
"","low","26.0","18.2","216.0","1.5","1.0","2.8","13.7","0.0","0.4","16.4"
"Sam Darnold","NYJ","34.3","22.1","252.9","1.9","1.1","2.5","8.4","0.1","0.1","16.8"
"","high","38.0","24.0","257.0","2.0","0.9","3.1","13.0","0.3","0.1","21.7"
"","low","32.2","20.9","247.7","1.7","1.5","1.4","4.0","0.0","0.2","15.5"
"Kyler Murray","ARI","35.1","22.5","238.5","1.1","0.8","5.9","33.2","0.2","0.2","16.5"
"","high","38.0","24.0","258.7","1.4","0.5","7.0","36.4","0.4","0.0","20.5"
"","low","32.7","20.2","210.0","0.8","1.0","4.9","29.2","0.0","0.4","14.9"
"Josh Allen","BUF","31.2","18.8","217.7","1.1","0.9","7.1","35.3","0.3","0.2","16.5"
"","high","34.0","20.6","234.7","1.2","0.8","8.0","41.0","0.5","0.2","19.8"
"","low","29.0","16.7","197.0","0.9","1.0","5.8","32.1","0.0","0.2","16.5"
"Drew Brees","NO","34.2","25.2","259.4","1.7","0.5","0.5","1.0","0.0","0.1","16.4"
"","high","35.6","28.0","290.9","2.0","0.0","1.4","2.9","0.1","0.0","21.4"
"","low","32.0","22.0","228.0","1.5","0.8","0.0","0.0","0.0","0.2","15.2"
"Jared Goff","LAR","37.3","23.7","276.1","1.7","0.9","1.7","3.7","0.1","0.2","16.3"
"","high","39.0","25.0","295.0","2.0","0.8","2.4","7.4","0.1","0.1","23.0"
"","low","35.7","22.2","252.0","1.5","1.0","1.0","2.0","0.0","0.3","15.3"
"Ryan Fitzpatrick","MIA","36.6","22.8","259.0","1.6","1.2","3.2","14.3","0.1","0.2","16.2"
"","high","42.0","26.0","292.0","2.0","1.0","3.8","16.7","0.2","0.1","23.0"
"","low","33.3","20.1","234.0","1.4","1.4","3.0","11.7","0.0","0.3","14.5"
"Baker Mayfield","CLE","33.6","21.8","269.0","1.5","1.0","1.6","6.8","0.1","0.2","15.6"
"","high","34.3","23.0","290.0","1.8","0.8","2.7","12.1","0.1","0.2","18.1"
"","low","32.7","19.9","257.1","1.0","1.1","1.0","3.0","0.0","0.2","15.8"
"Philip Rivers","LAC","34.1","22.4","268.1","1.7","0.9","0.8","1.5","0.0","0.1","15.6"
"","high","38.0","25.0","288.0","2.0","0.9","1.7","2.9","0.0","0.1","21.2"
"","low","29.0","20.0","255.5","1.5","1.0","0.0","0.0","0.0","0.2","15.2"
"Jacoby Brissett","IND","34.2","22.1","238.0","1.3","0.7","3.5","13.8","0.2","0.2","15.4"
"","high","39.0","27.0","278.0","1.7","0.5","4.4","17.1","0.3","0.2","19.5"
"","low","29.9","18.5","211.8","1.0","1.0","2.6","10.0","0.0","0.3","15.2"
"Kyle Allen","CAR","38.2","24.0","277.5","1.5","1.0","1.9","6.6","0.0","0.4","15.2"
"","high","45.0","29.0","346.0","1.8","0.8","3.1","13.1","0.1","0.3","18.6"
"","low","34.4","21.2","236.1","1.0","1.3","1.0","2.6","0.0","0.5","15.0"
"Gardner Minshew","JAC","35.7","22.4","245.7","1.4","0.8","4.4","21.4","0.1","0.5","15.2"
"","high","40.0","25.0","256.0","2.0","0.5","6.0","27.0","0.2","0.3","23.4"
"","low","32.7","19.9","231.0","1.2","1.0","3.1","16.1","0.0","0.7","14.5"
"Andy Dalton","CIN","35.2","21.2","243.1","1.4","0.9","2.3","8.1","0.1","0.2","14.4"
"","high","38.0","22.0","255.0","2.0","0.7","3.4","12.6","0.3","0.2","21.1"
"","low","32.3","20.1","235.0","1.1","1.1","1.0","3.0","0.0","0.3","13.1"
"Derek Carr","OAK","33.6","23.5","246.1","1.4","0.7","1.5","4.5","0.1","0.3","14.2"
"","high","35.0","26.0","260.0","1.5","0.4","2.5","9.8","0.1","0.2","17.2"
"","low","32.1","22.3","231.0","1.0","1.0","0.0","2.0","0.0","0.3","13.8"
"Eli Manning","NYG","36.2","22.8","261.0","1.4","0.9","1.2","3.3","0.0","0.3","14.1"
"","high","42.0","28.0","294.0","2.0","0.7","3.4","10.3","0.1","0.2","21.3"
"","low","30.7","19.1","212.9","0.9","1.1","0.0","0.0","0.0","0.3","14.3"
"Mitch Trubisky","CHI","34.6","21.7","223.9","1.2","0.9","3.1","14.7","0.1","0.2","13.6"
"","high","38.0","23.0","253.0","1.3","0.7","4.1","19.3","0.2","0.1","17.6"
"","low","30.7","19.6","210.0","1.0","1.1","2.0","9.0","0.0","0.3","12.9"
"Devlin Hodges","PIT","31.7","20.6","225.5","1.2","0.9","2.9","12.2","0.1","0.2","13.5"
"","high","35.1","24.0","255.0","1.5","0.7","4.1","19.8","0.2","0.2","15.4"
"","low","28.0","18.0","212.8","1.0","1.0","1.0","5.0","0.0","0.3","13.9"
"Jimmy Garoppolo","SF","31.4","20.6","240.7","1.3","0.9","1.9","4.8","0.1","0.3","13.4"
"","high","33.0","24.0","254.8","1.5","0.7","2.8","10.8","0.1","0.3","16.3"
"","low","29.9","18.0","223.0","1.0","1.3","0.0","2.0","0.0","0.3","12.9"
"Drew Lock","DEN","31.5","20.4","235.8","1.1","0.9","2.4","9.3","0.0","0.2","12.5"
"","high","34.0","23.0","285.0","1.2","0.7","3.1","14.0","0.1","0.2","16.0"
"","low","28.0","18.0","203.0","0.9","1.2","1.7","4.2","0.0","0.2","10.6"
"David Blough","DET","34.4","20.9","235.4","1.0","1.1","1.7","6.3","0.0","0.2","11.6"
"","high","39.0","23.0","258.1","1.2","0.7","2.2","9.0","0.1","0.2","16.0"
"","low","30.0","18.0","224.0","0.7","1.6","1.0","3.8","0.0","0.3","10.0"
"Dwayne Haskins","WAS","29.2","17.9","200.7","1.0","1.1","2.5","8.6","0.0","0.2","10.2"
"","high","33.3","20.4","219.7","1.0","0.7","4.0","13.0","0.1","0.2","15.4"
"","low","25.9","14.9","172.0","0.9","1.4","1.7","6.0","0.0","0.3","8.8"
"Tyrod Taylor","LAC","14.6","8.9","96.5","0.3","0.3","1.6","4.7","0.0","0.1","4.9"
"","high","27.7","17.0","181.3","0.6","0.0","3.1","8.6","0.0","0.0","1.0"
"","low","1.4","0.9","11.6","0.1","0.7","0.2","0.9","0.0","0.2","1.0"
"Taysom Hill","NO","6.6","3.9","44.4","0.2","0.1","1.3","4.8","0.0","0.0","2.8"
"","high","30.0","19.0","207.4","0.8","0.0","2.0","9.0","0.1","0.0","2.8"
"","low","0.0","0.0","0.0","0.0","0.7","0.8","3.4","0.0","0.2","1.1"
"Blake Bortles","LAR","5.4","3.0","29.1","0.1","0.2","0.7","1.5","0.0","0.1","1.1"
"","high","9.4","5.2","47.3","0.1","0.0","1.0","2.0","0.0","0.0","1.0"
"","low","1.5","0.9","11.0","0.0","0.4","0.3","1.1","0.0","0.1","1.0"
"Brandon Allen","DEN","4.5","2.6","24.9","0.1","0.2","0.7","2.3","0.0","0.0","1.1"
"","high","5.7","3.2","27.7","0.1","0.1","1.2","3.9","0.0","0.0","1.2"
"","low","3.2","2.0","22.1","0.0","0.2","0.2","0.8","0.0","0.1","1.2"
"Marcus Mariota","TEN","4.9","2.8","26.8","0.1","0.2","0.6","1.5","0.0","0.1","1.0"
"","high","8.7","4.8","43.7","0.1","0.0","0.9","1.8","0.0","0.0","0.9"
"","low","1.1","0.7","9.9","0.0","0.4","0.3","1.2","0.0","0.1","0.9"
"Ryan Finley","CIN","4.3","2.4","24.7","0.1","0.2","0.6","2.1","0.0","0.1","0.9"
"","high","7.2","4.0","40.1","0.1","0.0","1.0","3.2","0.0","0.0","0.9"
"","low","1.4","0.8","9.3","0.0","0.5","0.2","0.9","0.0","0.1","0.9"
"Ryan Griffin","TB","4.8","2.7","25.7","0.1","0.2","0.5","1.0","0.0","0.1","0.9"
"","high","8.4","4.6","41.9","0.1","0.0","0.9","1.7","0.0","0.0","0.8"
"","low","1.2","0.8","9.4","0.0","0.4","0.1","0.2","0.0","0.1","0.8"
"Josh McCown","PHI","4.6","2.6","24.9","0.1","0.2","0.6","1.3","0.0","0.1","0.9"
"","high","7.7","4.3","38.4","0.1","0.0","0.8","1.6","0.0","0.0","1.0"
"","low","1.4","1.0","11.4","0.0","0.4","0.3","1.0","0.0","0.1","1.0"
"Matt Schaub","ATL","6.0","3.3","28.7","0.1","0.2","0.6","0.8","0.0","0.1","0.9"
"","high","10.3","5.4","45.5","0.1","0.0","1.1","1.5","0.0","0.0","0.9"
"","low","1.6","1.1","11.9","0.0","0.5","0.2","0.2","0.0","0.1","0.9"
