"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"New Orleans Saints","","3.4","1.2","0.7","1.3","0.2","0.1","18.4","322.3","9.4"
"","high","3.9","1.7","1.0","1.4","0.3","0.1","19.9","311.0","12.1"
"","low","2.9","0.7","0.5","1.2","0.1","0.0","17.8","333.5","7.9"
"Cleveland Browns","","3.1","1.2","0.8","1.5","0.2","0.0","18.4","307.2","9.4"
"","high","3.8","1.6","1.1","1.7","0.3","0.1","21.0","282.0","11.2"
"","low","2.5","0.8","0.5","1.3","0.1","0.0","17.2","332.4","7.8"
"Pittsburgh Steelers","","3.7","1.0","0.7","1.3","0.2","0.0","15.7","285.4","9.3"
"","high","4.4","1.2","1.1","1.5","0.2","0.1","16.7","263.0","11.2"
"","low","2.9","0.8","0.5","1.2","0.0","0.0","14.7","307.8","8.8"
"Chicago Bears","","3.7","0.9","0.7","1.3","0.2","0.0","16.4","302.4","9.2"
"","high","4.0","1.1","1.2","1.7","0.3","0.1","17.3","285.0","10.7"
"","low","2.9","0.8","0.6","0.9","0.1","0.0","14.4","319.8","8.9"
"Detroit Lions","","3.5","1.1","0.7","1.1","0.2","0.0","17.9","283.7","9.1"
"","high","4.7","1.4","0.8","1.1","0.2","0.1","19.8","282.3","10.2"
"","low","2.6","0.9","0.6","1.1","0.1","0.0","14.8","285.0","7.9"
"Buffalo Bills","","2.8","1.1","0.6","1.1","0.2","0.0","16.2","313.6","8.4"
"","high","3.2","1.6","0.8","1.1","0.2","0.1","16.8","294.0","10.4"
"","low","2.4","0.7","0.4","1.1","0.1","0.0","15.1","333.2","7.3"
"Atlanta Falcons","","3.1","1.2","0.6","0.9","0.2","0.0","23.0","380.2","7.9"
"","high","3.6","1.6","0.8","1.1","0.2","0.0","24.9","361.4","10.8"
"","low","2.5","0.8","0.5","0.8","0.1","0.0","18.4","399.0","6.3"
"New England Patriots","","2.2","0.9","0.7","1.2","0.2","0.1","17.6","374.5","7.5"
"","high","2.9","1.2","1.0","1.4","0.2","0.1","19.3","356.0","8.3"
"","low","1.2","0.7","0.5","1.1","0.0","0.0","15.4","393.0","6.2"
"Jacksonville Jaguars","","3.5","0.8","0.6","0.8","0.1","0.1","20.4","306.7","7.2"
"","high","3.9","1.0","0.8","0.8","0.2","0.1","22.5","285.0","8.7"
"","low","3.1","0.7","0.4","0.7","0.1","0.0","17.8","328.4","6.8"
"Oakland Raiders","","2.7","1.1","0.6","1.1","0.1","0.1","20.7","306.1","7.1"
"","high","3.3","1.4","0.8","1.3","0.2","0.1","21.8","295.0","8.0"
"","low","2.3","0.9","0.5","0.9","0.1","0.0","18.6","317.2","7.1"
"Indianapolis Colts","","3.1","0.8","0.7","1.0","0.1","0.0","23.7","357.5","6.9"
"","high","3.4","1.0","0.8","1.1","0.2","0.1","25.0","349.0","7.9"
"","low","2.8","0.6","0.6","1.0","0.0","0.0","22.3","366.1","5.9"
"Tennessee Titans","","2.3","0.7","0.6","0.9","0.1","0.0","18.0","332.6","6.8"
"","high","3.6","0.8","0.9","1.2","0.2","0.1","19.0","324.0","7.4"
"","low","1.5","0.5","0.4","0.6","0.1","0.0","15.0","341.1","5.9"
"Green Bay Packers","","2.7","0.9","0.6","1.0","0.1","0.0","24.0","379.8","6.7"
