"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","CAR","rb","7","SEA","20.5","44","0","0","0","0","0","0","18.7601","75.8215","0.4603","8.5895","6.8199","55.9286","0.2225","0.1638","0.0819","0.0096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Alvin Kamara","NO","rb","9","IND","19.8","23","0","0","0","0","0","0","13.5327","62.1713","0.8016","6.6777","5.6854","45.2461","0.2381","0.0653","0.0327","0.045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Saquon Barkley","NYG","rb","11","MIA","19.7","26","0","0","0","0","0","0","20.3848","97.6675","0.5816","5.6267","4.2873","34.2833","0.1449","0.053","0.0265","0.0212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Michael Thomas","NO","wr","9","IND","19.4","35","0","0","0","0","0","0","0","0","0","10.7988","8.7373","107.5573","0.7107","0.0355","0.0178","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Leonard Fournette","JAX","rb","10","@OAK","18","27","0","0","0","0","0","0","20.0944","75.2549","0.5183","6.1956","5.0138","38.3697","0.1791","0.1044","0.0522","0.0064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Ezekiel Elliott","DAL","rb","8","LA","16.1","32","0","0","0","0","0","0","18.8835","80.7529","0.618","3.6174","2.9805","24.6995","0.0979","0.2037","0.1019","0.0022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Derrick Henry","TEN","rb","11","HST","16.1","36","0","0","0","0","0","0","19.5582","90.788","0.8025","2.0087","1.585","11.8708","0.0584","0.0967","0.0484","0.0038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Nick Chubb","CLV","rb","7","@ARZ","15.5","28","0","0","0","0","0","0","16.1492","81.5122","0.6448","3.1172","2.4356","16.9591","0.0946","0.047","0.0235","0.0145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Tyreek Hill","KC","wr","12","DEN","16","30","0","0","0","0","0","0","0.7821","5.645","0.0351","8.5493","5.8142","81.6279","0.6956","0.0148","0.0074","0.0062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Julian Edelman","NE","wr","10","@CIN","15.5","27","0","0","0","0","0","0","0.6289","4.3865","0.0159","9.5202","6.7049","83.1451","0.5255","0.053","0.0265","0.0122","18.5197","0.0235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Chris Godwin","TB","wr","7","@DET","15.5","33","0","0","0","0","0","0","0","0","0","8.9756","6.1862","89.4548","0.5819","0.1014","0.0507","0.0301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Dalvin Cook","MIN","rb","12","@LAC","14.3","36","0","0","0","0","0","0","14.1351","60.7229","0.3623","5.0213","3.9988","30.9489","0.1703","0.1314","0.0657","0.0101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Chris Carson","SEA","rb","11","@CAR","14.3","34","0","0","0","0","0","0","16.8588","71.3882","0.5554","3.1813","2.6094","18.6597","0.1262","0.1343","0.0672","0.0283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Aaron Jones","GB","rb","11","CHI","14.1","29","0","0","0","0","0","0","12.98","59.215","0.6392","3.8505","3.0045","21.3928","0.1239","0.0663","0.0331","0.0055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Lamar Jackson","BLT","qb","8","NYJ","25.1","40","20.7319","30.7596","227.0502","1.824","0.5755","2.021","12.6231","57.5291","0.7237","0","0","0","0","0.8516","0.4258","0.0494","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Todd Gurley II","LA","rb","9","@DAL","13.8","21","0","0","0","0","0","0","15.1619","64.926","0.6241","3.0519","2.4403","19.3229","0.0833","0.1389","0.0695","0.0366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
