"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Dalvin Cook","MIN","vs. WAS","1","2","1.1","0.3","20.5"
"2","undefined","","Christian McCaffrey","CAR","at SF","1","5","2.7","0.8","19.7"
"3","undefined","","Saquon Barkley","NYG","at DET","1","5","2.8","0.6","19.4"
"4","undefined","","Leonard Fournette","JAC","vs. NYJ","2","6","4.3","0.7","17.5"
"5","undefined","","James Conner","PIT","vs. MIA","2","7","5.1","0.9","17.0"
"6","undefined","","Chris Carson","SEA","at ATL","4","8","6.3","1.2","16.9"
"7","undefined","","Todd Gurley","LAR","vs. CIN","5","11","8.1","1.3","16.7"
"8","undefined","","Le'Veon Bell","NYJ","at JAC","6","15","8.3","1.5","15.8"
"9","undefined","","Aaron Jones","GB","at KC","3","12","8.7","1.0","15.1"
"10","undefined","","Nick Chubb","CLE","at NE","7","20","11.6","1.9","14.2"
"11","undefined","","Derrick Henry","TEN","vs. TB","7","19","12.2","2.3","14.0"
"12","undefined","","Marlon Mack","IND","vs. DEN","10","16","13.3","1.5","13.9"
"13","undefined","","Josh Jacobs","OAK","at HOU","12","18","14.3","1.5","13.1"
"14","undefined","","Chase Edmonds","ARI","at NO","11","24","14.8","2.1","12.7"
"15","undefined","","Sony Michel","NE","vs. CLE","12","23","15.2","1.1","12.4"
"16","undefined","","Devonta Freeman","ATL","vs. SEA","12","24","17.6","2.5","12.3"
"17","undefined","","Tevin Coleman","SF","vs. CAR","14","23","17.7","1.5","11.8"
"18","undefined","","Latavius Murray","NO","vs. ARI","5","34","19.1","8.4","11.5"
"19","undefined","","Phillip Lindsay","DEN","at IND","16","27","19.1","1.5","11.2"
"20","undefined","","Ty Johnson","DET","vs. NYG","11","29","19.7","1.6","11.1"
"21","undefined","","Austin Ekeler","LAC","at CHI","17","24","20.5","1.7","10.8"
"22","undefined","","Melvin Gordon","LAC","at CHI","18","25","22.9","1.5","10.8"
"23","undefined","","James White","NE","vs. CLE","21","31","23.7","2.2","10.7"
"24","undefined","","Royce Freeman","DEN","at IND","21","37","24.4","1.7","10.6"
"25","undefined","","Carlos Hyde","HOU","vs. OAK","15","32","24.9","3.5","9.8"
"26","undefined","","David Montgomery","CHI","vs. LAC","22","35","26.3","1.4","9.6"
"27","undefined","","LeSean McCoy","KC","vs. GB","21","32","26.3","2.7","9.3"
"28","undefined","","Matt Breida","SF","vs. CAR","21","32","27.8","1.9","9.2"
"29","undefined","","Joe Mixon","CIN","at LAR","25","33","29.6","1.4","9.1"
"30","undefined","","Jamaal Williams","GB","at KC","26","36","29.7","1.7","8.7"
"31","undefined","","Jordan Howard","PHI","at BUF","23","36","31.1","2.2","8.6"
"32","undefined","","Alvin Kamara","NO","vs. ARI","7","59","25.3","18.2","8.4"
"33","undefined","","Frank Gore","BUF","vs. PHI","30","38","33.2","2.2","8.4"
"34","undefined","","Miles Sanders","PHI","at BUF","33","40","36.0","1.5","8.3"
"35","undefined","","Devin Singletary","BUF","vs. PHI","34","39","36.0","1.4","8.3"
"36","undefined","","Darrell Henderson","LAR","vs. CIN","29","49","36.2","3.2","8.2"
"37","undefined","","Adrian Peterson","WAS","at MIN","28","44","36.8","3.0","8.2"
"38","undefined","","Tarik Cohen","CHI","vs. LAC","30","48","37.4","3.7","8.1"
"39","undefined","","Kenyan Drake","MIA","at PIT","30","44","39.8","3.3","8.0"
"40","undefined","","Ronald Jones II","TB","at TEN","34","43","40.1","1.7","7.9"
"41","undefined","","Damien Williams","KC","vs. GB","31","46","40.6","2.9","7.2"
"42","undefined","","Mark Walton","MIA","at PIT","33","48","41.8","3.0","7.1"
"43","undefined","","Duke Johnson","HOU","vs. OAK","38","47","42.0","2.0","6.7"
"44","undefined","","J.D. McKissic","DET","vs. NYG","35","50","43.1","3.8","6.6"
"45","undefined","","Alexander Mattison","MIN","vs. WAS","43","48","44.4","1.2","6.2"
"46","undefined","","Peyton Barber","TB","at TEN","38","49","46.0","1.9","5.5"
"47","undefined","","Wendell Smallwood","WAS","at MIN","41","63","46.0","2.6","5.4"
"48","undefined","","Benny Snell Jr.","PIT","vs. MIA","31","58","47.0","3.5","5.2"
"49","undefined","","Giovani Bernard","CIN","at LAR","46","54","48.5","1.3","5.1"
"50","undefined","","Nyheim Hines","IND","vs. DEN","48","62","50.1","1.0","4.9"
"51","undefined","","Dion Lewis","TEN","vs. TB","49","57","51.7","1.1","4.7"
"52","undefined","","DeAndre Washington","OAK","at HOU","47","60","52.0","2.7","4.4"
"53","undefined","","Brian Hill","ATL","vs. SEA","49","58","53.3","1.5","4.3"
"54","undefined","","Rashaad Penny","SEA","at ATL","49","59","55.1","2.2","4.3"
"55","undefined","","Darrel Williams","KC","vs. GB","53","62","55.7","1.8","4.0"
"56","undefined","","Brandon Bolden","NE","vs. CLE","49","61","55.8","2.1","3.7"
"57","undefined","","Jalen Richard","OAK","at HOU","50","59","57.0","1.1","3.6"
"58","undefined","","Dare Ogunbowale","TB","at TEN","52","62","57.0","2.8","3.6"
"59","undefined","","Jordan Wilkins","IND","vs. DEN","55","61","59.3","1.2","3.4"
"60","undefined","","Raheem Mostert","SF","vs. CAR","57","74","63.6","5.2","3.2"
"61","undefined","","Kalen Ballage","MIA","at PIT","54","66","61.6","3.3","3.0"
"62","undefined","","C.J. Prosise","SEA","at ATL","59","64","61.7","1.6","2.8"
"63","undefined","","Ty Montgomery","NYJ","at JAC","58","67","64.1","2.1","2.7"
"64","undefined","","Wayne Gallman","NYG","at DET","58","65","62.8","1.4","2.7"
"65","undefined","","David Johnson","ARI","at NO","21","94","63.6","19.9","2.6"
"66","undefined","","Ryquell Armstead","JAC","vs. NYJ","62","70","66.3","2.2","2.6"
"67","undefined","","Jeff Wilson","SF","vs. CAR","56","88","67.9","7.5","2.5"
"68","undefined","","Zach Zenner","ARI","at NO","61","83","70.1","7.0","2.5"
"69","undefined","","Boston Scott","PHI","at BUF","55","74","70.3","2.4","2.4"
"70","undefined","","Dontrell Hilliard","CLE","at NE","65","72","68.5","1.7","2.2"
"71","undefined","","Rex Burkhead","NE","vs. CLE","58","78","69.1","6.1","1.8"
"72","undefined","","Dwayne Washington","NO","vs. ARI","69","84","72.5","4.6","1.8"
"73","undefined","","CJ Ham","MIN","vs. WAS","69","76","72.9","2.0","1.7"
"74","undefined","","Reggie Bonnafon","CAR","at SF","70","89","75.5","5.4","1.6"
"75","undefined","","Ameer Abdullah","MIN","vs. WAS","75","78","76.3","1.0","1.6"
"76","undefined","","Bilal Powell","NYJ","at JAC","71","90","77.9","4.9","1.6"
"77","undefined","","Mike Davis","CHI","vs. LAC","72","89","78.6","5.1","1.6"
"78","undefined","","Dan Vitale","GB","at KC","68","82","79.0","2.5","1.6"
"79","undefined","","Kenjon Barner","ATL","vs. SEA","69","84","81.1","2.1","1.5"
"80","undefined","","John Kelly","LAR","vs. CIN","78","90","81.1","3.7","1.4"
"81","undefined","","Elijhaa Penny","NYG","at DET","73","91","81.9","4.1","1.4"
"82","undefined","","Craig Reynolds","WAS","at MIN","74","97","83.3","6.3","1.3"
"83","undefined","","Qadree Ollison","ATL","vs. SEA","61","97","84.5","7.6","1.3"
"84","undefined","","Zach Line","NO","vs. ARI","71","86","82.7","1.9","1.2"
"85","undefined","","Andy Janovich","DEN","at IND","83","92","86.9","2.4","1.2"
"86","undefined","","Patrick DiMarco","BUF","vs. PHI","83","93","86.0","3.1","1.1"
"87","undefined","","Devontae Booker","DEN","at IND","82","96","88.5","3.8","1.0"
"88","undefined","","Alfred Morris","ARI","at NO","66","98","84.8","6.7","1.0"
"89","undefined","","T.J. Yeldon","BUF","vs. PHI","72","96","90.9","3.4","0.9"
"90","undefined","","Derek Watt","LAC","at CHI","86","96","89.3","2.9","0.8"
"91","undefined","","Trayveon Williams","CIN","at LAR","88","98","91.7","3.2","0.8"
"92","undefined","","Anthony Sherman","KC","vs. GB","75","97","93.6","1.7","0.8"
"93","undefined","","Tra Carson","DET","vs. NYG","71","101","88.2","10.1","0.8"
"94","undefined","","Alex Armah","CAR","at SF","80","94","89.2","5.0","0.8"
"95","undefined","","Javorius Allen","NYG","at DET","91","99","94.8","2.7","0.8"
"96","undefined","","Troymaine Pope","LAC","at CHI","87","101","93.7","5.0","0.7"
"97","undefined","","Paul Perkins","DET","vs. NYG","68","99","91.2","7.4","0.6"
"98","undefined","","Damien Harris","NE","vs. CLE","73","99","96.3","1.6","0.6"
"99","undefined","","Jonathan Hilliman","NYG","at DET","92","100","96.1","2.6","0.6"
"100","undefined","","Mike Boone","MIN","vs. WAS","81","100","95.3","5.0","0.6"
"101","undefined","","D'Ernest Johnson","CLE","at NE","80","94","89.3","6.6","0.6"
"102","undefined","","Travis Homer","SEA","at ATL","87","99","97.5","1.0","0.6"
"103","undefined","","Nick Bawden","DET","vs. NYG","79","91","85.0","6.0","0.5"
"104","undefined","","Darwin Thompson","KC","vs. GB","102","103","102.7","0.5","0.5"
""
""
