"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Michael Thomas","NO","vs. MIN","1","2","1.0","0.0","13.5"
"2","undefined","","Julian Edelman","NE","vs. TEN","2","8","3.7","1.4","10.3"
"3","undefined","","DeAndre Hopkins","HOU","vs. BUF","2","9","3.8","1.5","10.0"
"4","undefined","","Tyler Lockett","SEA","at PHI","1","7","4.6","1.7","9.6"
"5","undefined","","John Brown","BUF","at HOU","2","9","5.0","2.0","9.3"
"6","undefined","","A.J. Brown","TEN","at NE","2","8","5.4","1.8","9.6"
"7","undefined","","Stefon Diggs","MIN","at NO","2","10","6.5","1.8","9.1"
"8","undefined","","D.K. Metcalf","SEA","at PHI","2","9","6.5","1.0","8.5"
"9","undefined","","Adam Thielen","MIN","at NO","4","12","9.3","0.9","7.4"
"10","undefined","","Greg Ward","PHI","vs. SEA","9","14","10.9","1.0","7.3"
"11","undefined","","Cole Beasley","BUF","at HOU","6","17","12.2","1.9","6.9"
"12","undefined","","Corey Davis","TEN","at NE","10","22","13.6","2.3","6.2"
"13","undefined","","N'Keal Harry","NE","vs. TEN","9","18","14.1","1.6","5.3"
"14","undefined","","Kenny Stills","HOU","vs. BUF","8","21","14.3","3.3","4.9"
"15","undefined","","Tre'Quan Smith","NO","vs. MIN","9","26","15.4","2.8","4.3"
"16","undefined","","Mohamed Sanu","NE","vs. TEN","11","25","15.8","2.9","4.3"
"17","undefined","","Ted Ginn","NO","vs. MIN","10","21","17.3","1.9","3.6"
"18","undefined","","David Moore","SEA","at PHI","13","28","18.6","2.4","3.4"
"19","undefined","","Isaiah McKenzie","BUF","at HOU","16","26","20.3","1.9","3.3"
"20","undefined","","Tajae Sharpe","TEN","at NE","12","25","21.0","2.2","3.0"
"21","undefined","","Duke Williams","BUF","at HOU","9","33","18.1","5.9","3.0"
"22","undefined","","J.J. Arcega-Whiteside","PHI","vs. SEA","15","32","22.2","2.1","2.9"
"23","undefined","","Jakobi Meyers","NE","vs. TEN","18","30","22.9","2.1","2.9"
"24","undefined","","Phillip Dorsett","NE","vs. TEN","15","27","24.4","1.6","2.9"
"25","undefined","","Olabisi Johnson","MIN","at NO","18","38","26.5","2.8","2.7"
"26","undefined","","Keke Coutee","HOU","vs. BUF","16","31","26.7","2.7","2.7"
"27","undefined","","Jaron Brown","SEA","at PHI","27","37","28.7","2.3","1.5"
"28","undefined","","Laquon Treadwell","MIN","at NO","25","41","30.3","2.6","1.3"
"29","undefined","","Deontay Burnett","PHI","vs. SEA","21","34","28.8","2.8","1.4"
"30","undefined","","Robert Davis","PHI","vs. SEA","22","33","30.2","2.5","1.5"
"31","undefined","","DeAndre Carter","HOU","vs. BUF","29","35","32.3","1.1","1.2"
"32","undefined","","Malik Turner","SEA","at PHI","27","35","30.8","3.0","1.1"
""
""
