"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","20.1","97.1","0.8","5.8","49.3","0.3","0.2","21.4"
"","high","23.0","119.0","1.0","6.4","59.2","0.6","0.1","23.6"
"","low","15.2","74.6","0.6","5.0","41.0","0.0","0.2","20.8"
"Dalvin Cook","MIN","20.3","95.1","0.8","4.7","42.9","0.1","0.2","18.6"
"","high","23.2","105.8","1.0","6.0","51.0","0.2","0.2","20.6"
"","low","17.5","85.8","0.6","3.9","35.0","0.0","0.3","17.6"
"Ezekiel Elliott","DAL","22.4","101.6","0.7","3.2","27.8","0.1","0.2","17.2"
"","high","24.0","109.0","1.0","3.6","29.0","0.2","0.1","19.0"
"","low","20.4","92.2","0.4","2.9","24.0","0.0","0.2","16.3"
"Josh Jacobs","OAK","20.6","96.1","0.9","2.1","17.5","0.1","0.2","17.1"
"","high","25.0","113.0","1.1","3.0","23.7","0.2","0.1","18.3"
"","low","15.3","76.5","0.7","1.1","13.5","0.0","0.2","17.2"
"Leonard Fournette","JAC","20.8","88.5","0.6","4.4","31.4","0.1","0.1","15.7"
"","high","21.4","91.0","1.0","5.6","36.0","0.2","0.0","18.2"
"","low","20.0","87.1","0.3","3.4","28.3","0.0","0.2","14.9"
"Melvin Gordon","LAC","17.6","78.6","0.7","2.7","22.9","0.1","0.1","14.9"
"","high","22.0","103.0","1.0","3.9","30.1","0.2","0.1","18.1"
"","low","15.7","67.6","0.6","2.0","18.0","0.0","0.2","12.9"
"Alvin Kamara","NO","12.3","56.6","0.6","5.8","47.8","0.2","0.1","14.8"
"","high","13.9","64.3","1.0","7.2","51.8","0.3","0.0","16.2"
"","low","10.1","53.0","0.3","5.0","45.0","0.0","0.2","12.6"
"Nick Chubb","CLE","16.8","86.0","0.7","2.0","13.7","0.1","0.1","13.9"
"","high","19.1","92.0","1.0","2.8","20.5","0.2","0.1","15.3"
"","low","13.1","74.0","0.5","1.0","9.4","0.0","0.2","12.3"
"James Conner","PIT","16.2","68.3","0.6","3.7","29.4","0.1","0.1","13.8"
