"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Tyreek Hill","KC","vs. HOU","1","3","1.0","0.0","13.2"
"2","undefined","","Davante Adams","GB","vs. SEA","1","2","2.0","0.0","12.4"
"3","undefined","","DeAndre Hopkins","HOU","at KC","2","6","3.1","0.2","11.1"
"4","undefined","","Tyler Lockett","SEA","at GB","4","7","4.5","1.0","9.8"
"5","undefined","","D.K. Metcalf","SEA","at GB","3","7","4.8","0.4","9.4"
"6","undefined","","Adam Thielen","MIN","at SF","3","12","6.8","1.3","9.0"
"7","undefined","","Stefon Diggs","MIN","at SF","6","9","7.3","1.0","8.8"
"8","undefined","","A.J. Brown","TEN","at BAL","5","10","7.5","1.4","8.4"
"9","undefined","","Emmanuel Sanders","SF","vs. MIN","7","12","9.4","1.2","7.8"
"10","undefined","","Marquise Brown","BAL","vs. TEN","9","11","10.3","0.7","6.9"
"11","undefined","","Deebo Samuel","SF","vs. MIN","6","15","11.2","1.4","6.7"
"12","undefined","","Sammy Watkins","KC","vs. HOU","9","14","11.9","1.1","6.6"
"13","undefined","","Kenny Stills","HOU","at KC","8","17","13.4","1.0","6.2"
"14","undefined","","Will Fuller","HOU","at KC","6","21","14.5","3.4","5.9"
"15","undefined","","David Moore","SEA","at GB","13","17","14.7","1.0","5.4"
"16","undefined","","Mecole Hardman","KC","vs. HOU","13","20","14.9","0.7","5.0"
"17","undefined","","Allen Lazard","GB","vs. SEA","12","19","16.8","1.1","4.8"
"18","undefined","","Corey Davis","TEN","at BAL","16","20","17.6","0.5","3.7"
"19","undefined","","Demarcus Robinson","KC","vs. HOU","18","20","19.0","0.5","3.6"
"20","undefined","","Miles Boykin","BAL","vs. TEN","19","25","21.1","1.4","3.4"
"21","undefined","","Geronimo Allison","GB","vs. SEA","20","23","21.6","0.6","3.2"
"22","undefined","","Marquez Valdes-Scantling","GB","vs. SEA","21","26","22.6","1.2","3.1"
"23","undefined","","Willie Snead","BAL","vs. TEN","16","26","23.1","1.6","2.9"
"24","undefined","","Jake Kumerow","GB","vs. SEA","22","28","25.0","1.3","2.9"
"25","undefined","","Kendrick Bourne","SF","vs. MIN","19","25","22.0","2.3","2.8"
"26","undefined","","Tajae Sharpe","TEN","at BAL","21","27","24.6","2.1","2.7"
"27","undefined","","Keke Coutee","HOU","at KC","18","29","27.1","1.6","2.4"
"28","undefined","","Seth Roberts","BAL","vs. TEN","23","27","26.5","1.0","2.3"
"29","undefined","","Olabisi Johnson","MIN","at SF","27","31","29.0","0.8","2.1"
"30","undefined","","Laquon Treadwell","MIN","at SF","30","36","30.7","1.9","1.9"
""
""
