"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"DeAndre Hopkins","HOU","7.2","89.6","0.7","0.0","0.0","0.0","0.1","13.2"
"Michael Thomas","NO","8.1","87.9","0.7","0.0","0.0","0.0","0.1","12.6"
"Stefon Diggs","MIN","5.7","79.2","0.7","0.4","2.4","0.0","0.1","12.1"
"Julio Jones","ATL","6.3","87.8","0.5","0.1","0.7","0.0","0.1","11.8"
"Chris Godwin","TB","5.9","81.8","0.6","0.1","0.5","0.0","0.1","11.7"
"Tyler Lockett","SEA","5.4","72.2","0.7","0.6","3.5","0.0","0.1","11.7"
"Cooper Kupp","LAR","6.4","76.7","0.6","0.3","1.7","0.0","0.1","11.5"
"Kenny Golladay","DET","5.1","80.0","0.5","0.1","0.5","0.0","0.0","11.3"
"Tyreek Hill","KC","4.7","72.4","0.5","0.6","4.2","0.0","0.0","10.7"
"T.Y. Hilton","IND","5.6","73.1","0.6","0.0","0.0","0.0","0.1","10.5"
"Mike Evans","TB","5.0","76.4","0.5","0.1","0.5","0.0","0.0","10.5"
"Julian Edelman","NE","6.1","68.6","0.5","0.5","3.9","0.0","0.1","10.3"
"Courtland Sutton","DEN","5.2","73.8","0.5","0.0","0.0","0.0","0.0","10.2"
"John Brown","BUF","4.4","68.8","0.5","0.2","0.7","0.0","0.0","10.1"
"JuJu Smith-Schuster","PIT","4.9","66.8","0.6","0.2","1.1","0.0","0.0","10.0"
"Allen Robinson","CHI","5.5","69.9","0.5","0.0","0.1","0.0","0.1","9.9"
"D.J. Chark","JAC","4.6","64.7","0.5","0.2","2.2","0.0","0.0","9.8"
"Marvin Jones","DET","4.3","62.5","0.6","0.1","0.2","0.0","0.0","9.7"
"Brandin Cooks","LAR","4.2","61.3","0.4","0.6","3.9","0.0","0.0","9.2"
"Keenan Allen","LAC","5.7","67.6","0.4","0.2","1.4","0.0","0.1","9.2"
"Golden Tate","NYG","5.5","65.5","0.4","0.4","2.9","0.0","0.1","8.9"
"Tyler Boyd","CIN","5.6","64.4","0.4","0.1","0.7","0.0","0.1","8.8"
"Terry McLaurin","WAS","4.9","62.1","0.4","0.2","1.2","0.0","0.0","8.8"
"D.K. Metcalf","SEA","3.7","55.6","0.5","0.2","1.6","0.0","0.0","8.5"
"Robert Woods","LAR","4.8","61.9","0.2","1.0","7.6","0.0","0.1","8.3"
"Alshon Jeffery","PHI","4.8","55.0","0.4","0.1","0.6","0.0","0.0","8.3"
"Marquez Valdes-Scantling","GB","3.7","59.3","0.4","0.3","2.3","0.0","0.0","8.3"
"Kenny Stills","HOU","4.2","62.0","0.3","0.0","0.0","0.0","0.0","8.3"
"D.J. Moore","CAR","4.8","57.6","0.4","0.5","5.3","0.0","0.2","8.1"
"Odell Beckham Jr.","CLE","4.8","66.3","0.2","0.3","1.9","0.0","0.1","8.0"
"Robby Anderson","NYJ","3.8","55.9","0.4","0.1","0.7","0.0","0.0","8.0"
