opponent,over_under_line,schedule_season,schedule_week,team,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite
ARI,36,1995,6,NYG,,64.0,12.0,4.0,1
ARI,37,1996,10,NYG,,42.0,16.0,5.5,1
ARI,37,1997,12,NYG,,38.0,17.0,5.5,1
ARI,37,1998,7,NYG,,64.0,11.0,2.5,1
ARI,34.5,1999,13,NYG,,50.0,17.0,4.5,1
ARI,40,2000,1,NYG,,78.0,7.0,6.5,1
ARI,37.5,2001,14,NYG,,51.0,22.0,5.0,1
ARI,37.5,2005,1,NYG,,70.0,10.0,1.5,1
ARI,47,2009,7,NYG,,60.0,16.0,8.0,1
ARI,41.5,2014,2,NYG,,71.0,5.0,1.0,1
ARI,,2019,7,NYG,,,,,0
ARI,35,1999,10,NYJ,,50.0,18.0,7.0,1
ARI,43.5,2008,4,NYJ,,69.0,6.0,1.5,1
ARI,36.5,2012,13,NYJ,Fog,46.0,4.0,6.0,1
ARI,44,2001,12,OAK,,54.0,23.0,13.0,1
ARI,40,2006,7,OAK,,63.0,5.0,-3.0,0
ARI,46.5,2014,7,OAK,,70.0,14.0,-3.5,0
ARI,35.5,1994,10,PHI,,63.0,12.0,6.5,1
ARI,38.5,1995,16,PHI,,36.0,12.0,9.0,1
ARI,40,1996,17,PHI,,30.0,8.0,5.5,1
ARI,38,1997,8,PHI,,55.0,13.0,8.5,1
ARI,38,1998,15,PHI,,43.0,7.0,-3.0,0
ARI,37,1999,1,PHI,,70.0,6.0,-3.0,0
ARI,38,2000,12,PHI,,38.0,9.0,7.0,1
ARI,41,2001,4,PHI,,52.0,16.0,14.5,1
ARI,37.5,2002,11,PHI,,43.0,17.0,12.0,1
ARI,49,2008,13,PHI,,40.0,12.0,3.0,1
ARI,47.5,2011,10,PHI,,61.0,1.0,13.0,1
ARI,48.5,2013,13,PHI,,47.0,5.0,3.5,1
ARI,51.5,2015,15,PHI,,34.0,3.0,-4.0,0
ARI,45,2017,5,PHI,,75.0,11.0,6.5,1
ARI,40.5,2003,10,PIT,,31.0,7.0,7.0,1
ARI,45,2015,6,PIT,,42.0,8.0,-5.5,0
ARI,39,1995,15,LAC,,60.0,7.0,8.5,1
ARI,44,2001,11,LAC,,60.0,13.0,7.0,1
ARI,44,2006,17,LAC,,53.0,4.0,14.0,1
ARI,46.5,2010,4,LAC,,72.0,8.0,9.5,1
ARI,47.5,2000,5,SF,,65.0,13.0,3.5,1
ARI,40.5,2002,8,SF,,56.0,9.0,8.5,1
ARI,40.5,2003,14,SF,,57.0,12.0,10.5,1
ARI,36.5,2004,5,SF,,62.0,14.0,1.0,1
ARI,43.5,2005,13,SF,,49.0,8.0,-3.0,0
ARI,45,2006,16,SF,,48.0,6.0,4.0,1
ARI,46.5,2007,1,SF,,64.0,13.0,3.0,1
ARI,42,2008,1,SF,,66.0,16.0,-2.5,0
ARI,45,2009,14,SF,,53.0,6.0,-4.0,0
ARI,39,2010,17,SF,,50.0,3.0,6.0,1
ARI,40.5,2011,11,SF,Rain,55.0,1.0,10.0,1
ARI,39.5,2012,17,SF,,53.0,5.0,16.5,1
ARI,41,2013,6,SF,,67.0,5.0,10.5,1
ARI,37.5,2014,17,SF,,56.0,5.0,6.0,1
ARI,45,2015,12,SF,,57.0,2.0,-8.5,0
ARI,42.5,2016,5,SF,,72.0,7.0,-3.5,0
ARI,39,2017,9,SF,,61.0,8.0,-2.0,0
ARI,40.5,2018,5,SF,,79.0,15.0,3.0,1
ARI,,2019,11,SF,,,,,0
ARI,44.5,1998,2,SEA,DOME,72.0,0.0,8.0,1
ARI,40.5,2002,2,SEA,,61.0,7.0,4.0,1
ARI,44.5,2003,16,SEA,,46.0,6.0,15.5,1
ARI,44,2004,16,SEA,,44.0,6.0,7.0,1
ARI,42,2005,3,SEA,,56.0,6.0,6.5,1
ARI,48,2006,2,SEA,,58.0,9.0,7.0,1
ARI,44.5,2007,14,SEA,,33.0,4.0,7.5,1
ARI,48,2008,11,SEA,,48.0,2.0,-3.0,0
ARI,46,2009,6,SEA,,60.0,10.0,3.0,1
ARI,40.5,2010,7,SEA,Rain,52.0,12.0,6.5,1
ARI,43,2011,3,SEA,,66.0,20.0,-3.0,0
ARI,36,2012,14,SEA,Rain | Fog,48.0,8.0,10.0,1
ARI,43,2013,16,SEA,Fog,50.0,6.0,9.0,1
ARI,41.5,2014,12,SEA,,57.0,6.0,7.5,1
ARI,43.5,2015,10,SEA,,42.0,1.0,3.0,1
ARI,43.5,2016,16,SEA,,39.0,2.0,9.0,1
ARI,38,2017,17,SEA,,40.0,7.0,8.0,1
ARI,39.5,2018,17,SEA,,45.0,5.0,14.0,1
ARI,,2019,16,SEA,,,,,0
ARI,41,1998,4,LAR,DOME,72.0,0.0,3.0,1
ARI,43,2002,15,LAR,DOME,72.0,0.0,11.0,1
ARI,45.5,2003,4,LAR,DOME,72.0,0.0,11.5,1
ARI,46,2004,1,LAR,DOME,72.0,0.0,11.0,1
ARI,48,2005,11,LAR,DOME,72.0,0.0,9.0,1
ARI,47,2006,13,LAR,DOME,72.0,0.0,6.5,1
ARI,41,2007,5,LAR,DOME,72.0,0.0,-3.5,0
ARI,50,2008,9,LAR,DOME,72.0,0.0,-3.0,0
ARI,47,2009,11,LAR,DOME,72.0,0.0,-9.0,0
ARI,39.5,2010,1,LAR,DOME,72.0,0.0,-3.0,0
ARI,40,2011,12,LAR,DOME,72.0,0.0,2.5,1
ARI,38,2012,5,LAR,DOME,72.0,0.0,-1.5,0
ARI,41.5,2013,1,LAR,DOME,72.0,0.0,3.5,1
ARI,40.5,2014,15,LAR,DOME,72.0,0.0,6.0,1
ARI,43,2015,13,LAR,DOME,72.0,0.0,-3.5,0
ARI,38,1997,5,TB,,81.0,11.0,7.5,1
ARI,39,2007,9,TB,,67.0,6.0,3.5,1
ARI,40,2013,4,TB,,84.0,7.0,2.5,1
ARI,,2019,10,TB,,,,,0
ARI,45.5,2009,12,TEN,,57.0,9.0,2.0,1
ARI,42.5,2013,15,TEN,,37.0,5.0,-3.0,0
ARI,35,1994,7,WAS,,57.0,8.0,-1.0,0
ARI,34.5,1995,1,WAS,,74.0,8.0,-3.0,0
ARI,40,1996,11,WAS,,42.0,10.0,10.5,1
ARI,41,1997,3,WAS,,71.0,7.0,8.0,1
ARI,41,1998,12,WAS,,41.0,9.0,1.0,1
ARI,46.5,1999,15,WAS,,43.0,8.0,5.5,1
ARI,38.5,2000,17,WAS,,28.0,9.0,7.0,1
ARI,36.5,2001,17,WAS,,35.0,9.0,3.5,1
ARI,44.5,2002,1,WAS,,73.0,5.0,6.0,1
ARI,36,2007,7,WAS,,65.0,7.0,8.0,1
ARI,43.5,2008,3,WAS,,68.0,4.0,3.0,1
ARI,45,2011,2,WAS,,66.0,7.0,4.5,1
ARI,40,2017,15,WAS,,50.0,1.0,4.0,1
ATL,42,1995,13,ARI,,67.0,6.0,-3.5,0
ATL,42.5,1997,17,ARI,,55.0,8.0,-1.5,0
ATL,42,2001,3,ARI,,92.0,15.0,-3.0,0
ATL,43.5,2007,16,ARI,DOME,72.0,0.0,10.5,1
ATL,46.5,2013,8,ARI,DOME,72.0,0.0,3.0,1
ATL,,2019,6,ARI,DOME,72.0,0.0,,0
ATL,,1967,1,IND,,70.0,12.0,,0
ATL,,1968,12,IND,,40.0,7.0,,0
ATL,,1969,11,IND,,39.0,11.0,,0
ATL,41.5,2006,11,BAL,,44.0,6.0,3.5,1
ATL,50,2014,7,BAL,,57.0,0.0,7.0,1
ATL,,1977,5,BUF,,45.0,17.0,,0
ATL,41,1980,9,BUF,,40.0,9.0,4.0,1
ATL,43,1992,12,BUF,,50.0,11.0,13.0,1
ATL,39,1995,11,BUF,,32.0,26.0,3.5,1
ATL,36,2005,3,BUF,,68.0,10.0,3.0,1
ATL,48.5,2013,13,BUF,DOME,72.0,0.0,4.5,1
ATL,41,1995,16,CAR,,50.0,6.0,-4.0,0
ATL,41,1996,1,CAR,,72.0,6.0,-3.0,0
ATL,38,1997,9,CAR,,63.0,8.0,8.5,1
ATL,38.5,1998,1,CAR,,79.0,5.0,4.5,1
ATL,40,1999,13,CAR,,52.0,5.0,4.5,1
ATL,48.5,2000,3,CAR,,59.0,8.0,6.0,1
ATL,40,2001,11,CAR,,67.0,12.0,-3.0,0
ATL,37,2002,12,CAR,,46.0,1.0,-3.5,0
ATL,35.5,2003,4,CAR,,67.0,7.0,6.0,1
ATL,39,2004,4,CAR,,67.0,5.0,3.5,1
ATL,43.5,2005,13,CAR,,49.0,6.0,3.0,1
ATL,39,2006,1,CAR,,73.0,6.0,4.5,1
ATL,35.5,2007,10,CAR,,44.0,5.0,4.0,1
ATL,39,2008,4,CAR,,70.0,4.0,7.0,1
ATL,43.5,2009,10,CAR,,71.0,2.0,-1.0,0
ATL,41,2010,14,CAR,,47.0,1.0,-7.5,0
ATL,47.5,2011,14,CAR,,48.0,1.0,-3.0,0
ATL,47,2012,14,CAR,Fog,70.0,5.0,-3.5,0
ATL,47,2013,9,CAR,,62.0,12.0,8.0,1
ATL,47,2014,11,CAR,,52.0,3.0,-2.5,0
ATL,45.5,2015,14,CAR,,70.0,6.0,8.5,1
ATL,49,2016,16,CAR,,52.0,4.0,-3.0,0
ATL,42,2017,9,CAR,,61.0,4.0,-3.0,0
ATL,46,2018,16,CAR,,52.0,7.0,-3.0,0
ATL,,2019,11,CAR,,,,,0
ATL,,1966,12,CHI,,49.0,11.0,,0
ATL,,1968,10,CHI,,42.0,8.0,,0
ATL,,1972,1,CHI,,76.0,12.0,,0
ATL,,1976,3,CHI,,57.0,9.0,,0
ATL,,1977,6,CHI,,49.0,16.0,,0
ATL,,1978,12,CHI,,36.0,10.0,,0
ATL,38.5,1983,1,CHI,,80.0,12.0,1.0,1
ATL,40.5,1985,12,CHI,,20.0,11.0,16.0,1
ATL,41,1990,10,CHI,,35.0,14.0,9.0,1
ATL,39,1992,4,CHI,,60.0,14.0,4.5,1
ATL,44,1993,5,CHI,,50.0,17.0,6.0,1
ATL,30.5,2005,15,CHI,,12.0,10.0,3.0,1
ATL,41,2011,1,CHI,,78.0,7.0,-1.5,0
